cj_webhook_logs	9915926	9801278
cinematic_ad_jobs	596787	296
pinterest_revenue_forecasts	534405	1800
cinematic_ad_job_events	307587	305590
cinematic_worker_heartbeats	296835	86
render_worker_heartbeats	296829	86
pcie2_assembly_results	277680	277680
pinterest_analytics_daily	249680	15359
pinterest_pin_dimensions	245113	1200
pinterest_revenue_opportunity_scores	178135	600
pinterest_revenue_attribution_v3	158589	177
pinterest_revenue_product_tiers	132238	589
cinematic_autopilot_state	91615	1
visitor_activity	83090	87318
pinterest_credit_state	60950	1
shil_subsystems	53258	16
products	45684	1052
frontend_error_logs	36202	72220
cron_job_logs	32701	23638
pinterest_credit_events	32133	32133
pinterest_pin_queue	31824	2569
lp_funnel_events	26199	20653
shil_recoveries	25190	10871
shil_incidents	23432	2967
pcie2_creative_jobs	22422	7420
market_product_scores	22063	19043
keyword_rankings	21891	69955
pinterest_revenue_scores	21000	2608
product_creative_profiles	19104	471
growth_product_scores	19028	19028
analytics_health_checks	16878	16878
pin_headline_bank	16500	16203
pinterest_render_attempts	16090	16090
tracking_anomalies	15898	687
pcie2_concept_graph	14519	12799
hot_product_scores	13892	13892
shil_signatures	13314	6
sync_progress	10729	1
cj_sync_items	9187	9187
pinterest_video_function_logs	8264	10709
